X,Y,OBJECTID,DESCRIPTION,IDENTIFIER,LATITUDE,LONGITUDE
-86.0161510870995,39.8333135760527,10788,42nd St & Private Dr-Missionary Christian Church,10224,39.833306,-86.016146
-86.0121590864208,39.8333115757578,10789,42nd St & Biscayne Rd,10226,39.833304,-86.012154
-86.0105930857267,39.8333085755923,10790,42nd St & Post Rd,10227,39.833301,-86.010588
-86.0082530855494,39.833345575725,10791,42nd St & Torino Ct,10228,39.833338,-86.008248
-86.0058680837825,39.8334185754867,10792,42nd St & Mount Vernon Ct,10229,39.833411,-86.005863
-86.0030190840717,39.8334345762725,10793,42nd St & Cordell St,10230,39.833427,-86.003014
-85.9999180821942,39.8334985760146,10794,42nd St & Baker Dr,10231,39.833491,-85.999913
-85.9975650819604,39.8335355762607,10795,42nd St & Burrwood Dr,10232,39.833528,-85.99756
-85.9914400795096,39.8336215764358,10796,42nd St & Mitthoefer Rd,10233,39.833614,-85.991435
-85.9912290800873,39.832488576564,10797,Mitthoefer Rd & Ellis Dr,10234,39.832481,-85.991224
-85.9912030805809,39.8309175762635,10798,Mitthoefer Rd & Montery Rd,10235,39.83091,-85.991198
-85.9911820801058,39.8285595759256,10799,Mitthoefer Rd & Catalina Dr,10236,39.828552,-85.991177
-85.9911960800131,39.8269645758853,10800,Mitthoefer Rd & 38th St,10237,39.826957,-85.991191
-85.9911690792721,39.8251995751552,10801,Mitthoefer Rd & 38th St,10238,39.825192,-85.991164
-85.9910830794428,39.8226665747438,10802,Mitthoefer Rd & John Marshall Dr N,10239,39.822659,-85.991078
-85.9910390787891,39.8205915744076,10803,Mitthoefer Rd & Park Davis Dr,10240,39.820584,-85.991034
-85.9910460785924,39.8158635735184,10804,Mitthoefer Rd & Conveyor Dr,10241,39.815856,-85.991041
-86.0259150895241,39.8257865732875,10805,38th St & Franklin Rd,10242,39.825779,-86.02591
-86.0205780884307,39.8258685736215,10806,38th St & Alsace Dr,10244,39.825861,-86.020573
-86.016530086378,39.8259085744571,10807,38th St & Dubarry Rd,10246,39.825901,-86.016525
-86.0126000853625,39.825925574443,10808,38th St & Shopping Center Dr-Northeastwood,10247,39.825918,-86.012595
-86.009538084317,39.8259645741374,10809,38th St & Post Rd,10248,39.825957,-86.009533
-86.0048740835787,39.8260365748646,10810,38th St & Wittfield St,10250,39.826029,-86.004869
-86.001369083004,39.8261175752129,10811,38th St & Parliament Ln,10251,39.82611,-86.001364
-85.9949940808496,39.826224575464,10812,38th St & Tudor Park Dr,10253,39.826217,-85.994989
-85.9910500790974,39.8126625728365,10813,Mitthoefer Rd & 30th St,10254,39.812655,-85.991045
-85.991047078824,39.8181095737856,10814,Mitthoefer Rd & Ridgefield Dr,10257,39.818102,-85.991042
-86.0259340896224,39.8260275735445,10815,38th St & Franklin Rd - Walmart Market,10258,39.82602,-86.025929
-86.1530371271103,39.8248755669983,10816,38th St & Delaware St,10260,39.824868,-86.153032
-86.1500211261604,39.8249235673299,10817,38th St & New Jersey St,10261,39.824916,-86.150016
-86.1477751254366,39.8249525677529,10818,38th St & Park Ave,10262,39.824945,-86.14777
-86.1448031248067,39.8250055675498,10819,38th St & College Ave,10263,39.824998,-86.144798
-86.140101123429,39.8253075676219,10820,38th St & Watson Rd,10265,39.8253,-86.140096
-86.1374211221955,39.8253515676849,10821,38th St & Coliseum Ave,10266,39.825344,-86.137416
-86.1327901216783,39.8253825675147,10822,38th St & Fall Creek Pkwy,10268,39.825375,-86.132785
-86.1580151287803,39.8249615668482,10823,38th St & Meridian St,10300,39.824954,-86.15801
-86.1673781315269,39.8249185660498,10824,38th St & Rookwood Ave,10301,39.824911,-86.167373
-86.1715721322085,39.8249065663735,10825,38th St & Clarendon Rd,10302,39.824899,-86.171567
-86.1839291353385,39.8247225655167,10826,38th St & Private Dr,10304,39.824715,-86.183924
-86.1980161406836,39.8246175646747,10827,38th St & Knollton Rd,10305,39.82461,-86.198011
-86.2363521507584,39.8255895627783,10828,Lafayette Rd & 38th St,10306,39.825582,-86.236347
-86.2377331519791,39.8269355631538,10829,Lafayette Rd - 3950 N - Lafayette Sq,10307,39.826928,-86.237728
-86.2404841529285,39.8271825631679,10830,Georgetown Rd - 4000 N,10308,39.827175,-86.240479
-86.2402881521802,39.82543556275,10831,Georgetown Rd & 38th St,10309,39.825428,-86.240283
-86.2408641534571,39.8240815620588,10832,38th St & Georgetown Rd,10312,39.824074,-86.240859
-86.2467851538328,39.824049562507,10833,38th St & Gemco Ln,10314,39.824042,-86.24678
-86.2506831551155,39.8239965622447,10834,38th St & Private Dr,10315,39.823989,-86.250678
-86.2535741568885,39.8239545620555,10835,38th St - 5400 W,10316,39.823947,-86.253569
-86.2571691582821,39.8239175616429,10836,38th St & Moller Rd,10317,39.82391,-86.257164
-86.2627691598536,39.8238065614917,10837,38th St & Kiel Ave,10319,39.823799,-86.262764
